EmployeeID,Department,JobRole,TrainingCourse,TrainingDate,ExpiryDate,TrainingStatus,ComplianceStatus
EMP-10001,Maintenance,Maintenance Technician,Calibration Awareness,2024-09-26,2025-09-26,Completed,Compliant
EMP-10002,Engineering,Manufacturing Engineer,Calibration Awareness,2025-01-05,2027-01-05,Completed,Compliant
EMP-10003,Supply Chain,Buyer,Calibration Awareness,2023-10-20,2025-10-19,Completed,Compliant
EMP-10004,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2023-02-23,2024-02-23,Completed,Compliant
EMP-10005,Warehouse,Warehouse Operator,5S Lean Manufacturing,2024-12-21,2025-12-21,Expired,Compliant
EMP-10006,Manufacturing,Machine Operator,Calibration Awareness,2024-04-03,2025-04-03,Completed,Compliant
EMP-10007,Maintenance,Maintenance Supervisor,5S Lean Manufacturing,2024-10-28,2026-10-28,Completed,Compliant
EMP-10008,Supply Chain,Buyer,Internal Auditor Training,2025-04-06,2027-04-06,Completed,Compliant
EMP-10009,Maintenance,Reliability Engineer,ISO 9001 Awareness,2024-02-13,2025-02-12,Expired,Compliant
EMP-10010,Manufacturing,Assembly Technician,Calibration Awareness,2025-03-07,2027-03-07,Completed,Compliant
EMP-10011,Quality,QA Manager,Internal Auditor Training,2023-06-07,2025-06-06,Completed,Non-Compliant
EMP-10012,Maintenance,Maintenance Supervisor,Calibration Awareness,2023-12-24,2025-12-23,Expired,Compliant
EMP-10013,HR,Training Coordinator,5S Lean Manufacturing,2024-12-03,2025-12-03,Completed,Compliant
EMP-10014,Engineering,Process Engineer,Internal Auditor Training,2023-03-28,2024-03-27,Completed,Compliant
EMP-10015,Maintenance,Maintenance Technician,Internal Auditor Training,2024-09-02,2025-09-02,Completed,Compliant
EMP-10016,Manufacturing,Line Lead,ISO 9001 Awareness,2025-04-09,2027-04-09,Completed,Compliant
EMP-10017,Engineering,Design Engineer,Calibration Awareness,2023-12-03,2024-12-02,Expired,Compliant
EMP-10018,Manufacturing,Assembly Technician,ISO 9001 Awareness,2023-01-10,2024-01-10,Expired,Compliant
EMP-10019,Manufacturing,Production Supervisor,ISO 9001 Awareness,2024-02-27,2025-02-26,Expired,Non-Compliant
EMP-10020,Supply Chain,Supply Chain Analyst,Safety Training,2025-10-23,2026-10-23,Completed,Compliant
EMP-10021,Supply Chain,Supply Chain Analyst,Calibration Awareness,2024-02-14,2026-02-13,Completed,Compliant
EMP-10022,Manufacturing,Assembly Technician,5S Lean Manufacturing,2025-02-07,2026-02-07,Completed,Compliant
EMP-10023,Maintenance,Maintenance Technician,Safety Training,2025-01-25,2026-01-25,Completed,Compliant
EMP-10024,Supply Chain,Logistics Coordinator,Calibration Awareness,2025-06-05,2027-06-05,Completed,Compliant
EMP-10025,Manufacturing,Line Lead,Internal Auditor Training,2023-01-18,2024-01-18,Expired,Compliant
EMP-10026,Manufacturing,Line Lead,Calibration Awareness,2023-01-19,2025-01-18,Expired,Non-Compliant
EMP-10027,Engineering,Design Engineer,ISO 9001 Awareness,2024-08-21,2025-08-21,Completed,Non-Compliant
EMP-10028,Supply Chain,Buyer,Calibration Awareness,2024-06-15,2025-06-15,Completed,Non-Compliant
EMP-10029,Quality,Quality Inspector,Internal Auditor Training,2023-10-21,2024-10-20,Completed,Compliant
EMP-10030,Manufacturing,Line Lead,5S Lean Manufacturing,2023-07-21,2025-07-20,Expired,Compliant
EMP-10031,Quality,Quality Inspector,Internal Auditor Training,2024-02-17,2026-02-16,Completed,Compliant
EMP-10032,Quality,Quality Inspector,Calibration Awareness,2023-01-22,2024-01-22,Expired,Compliant
EMP-10033,Manufacturing,Line Lead,5S Lean Manufacturing,2024-05-19,2026-05-19,Completed,Compliant
EMP-10034,Quality,Auditor,Safety Training,2023-06-13,2025-06-12,Completed,Compliant
EMP-10035,Engineering,Manufacturing Engineer,Calibration Awareness,2024-03-01,2025-03-01,Expired,Compliant
EMP-10036,Supply Chain,Buyer,Internal Auditor Training,2024-03-23,2025-03-23,Expired,Compliant
EMP-10037,Engineering,Process Engineer,Calibration Awareness,2025-07-12,2026-07-12,Completed,Non-Compliant
EMP-10038,Manufacturing,Line Lead,5S Lean Manufacturing,2024-06-08,2026-06-08,Pending,Non-Compliant
EMP-10039,Warehouse,Warehouse Supervisor,Calibration Awareness,2024-05-09,2026-05-09,Completed,Compliant
EMP-10040,Quality,QA Manager,Safety Training,2024-07-01,2025-07-01,Expired,Compliant
EMP-10041,Maintenance,Reliability Engineer,ISO 9001 Awareness,2025-06-17,2026-06-17,Completed,Compliant
EMP-10042,Manufacturing,Assembly Technician,Safety Training,2024-10-01,2025-10-01,Completed,Compliant
EMP-10043,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2023-02-09,2025-02-08,Completed,Non-Compliant
EMP-10044,Manufacturing,Machine Operator,5S Lean Manufacturing,2023-01-17,2025-01-16,Completed,Non-Compliant
