SupplierID,SupplierName,SupplierRegion,ComponentType,Month,Deliveries,UnitsReceived,DefectiveUnits,DefectRate,SupplierRating
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2023-03,20,90380,1999,2.212,B
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-07,13,15028,265,1.768,B
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2023-08,23,8349,581,6.964,D
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2024-09,4,15708,212,1.35,A
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2023-04,24,33048,662,2.003,B
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2024-11,17,51850,886,1.709,B
SUP-0112,"Martin, Ritter and Thomas Group",Poland,Transformers,2025-07,25,29825,2292,7.688,D
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2024-02,2,4108,281,6.854,D
SUP-0017,"Anderson, Smith and Hale Manufacturing",Poland,Switchgear Parts,2023-08,23,65872,2637,4.003,C
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2023-08,24,117240,3010,2.568,B
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2024-11,4,10604,288,2.721,B
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-06,6,9870,258,2.62,B
SUP-0107,Jones PLC Pvt Ltd,India,Circuit Breakers,2024-09,7,9247,101,1.094,A
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2024-05,17,72420,2874,3.97,C
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-12,6,25632,1004,3.92,C
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2024-02,5,4325,174,4.025,C
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2025-04,19,28709,587,2.048,B
SUP-0095,Mitchell-Boyd Components,India,Metal Components,2025-12,10,9640,771,8.0,D
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-12,25,113525,3637,3.204,C
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2023-10,6,2172,119,5.489,D
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-07,16,46448,532,1.148,A
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2024-10,24,95904,1126,1.174,A
SUP-0114,Davis and Sons Manufacturing,India,Transformers,2025-04,11,40040,388,0.97,A
