supplierid,suppliername,supplierregion,componenttype,month,deliveries,unitsreceived,defectiveunits,defectrate,supplierrating,risk_score,risk_category
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2023-03,20,90380,1999,2.212,B,2.1268000000000002,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-07,13,15028,265,1.768,B,1.1668,Low
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2023-08,23,8349,581,6.964,D,4.4108,Low
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2024-09,4,15708,212,1.35,A,0.8948,Low
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2023-04,24,33048,662,2.003,B,1.4666000000000001,Low
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2024-11,17,51850,886,1.709,B,1.3798000000000001,Low
SUP-0112,"Martin, Ritter and Thomas Group",Poland,Transformers,2025-07,25,29825,2292,7.688,D,5.5296,Medium
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2024-02,2,4108,281,6.854,D,4.2248,Low
SUP-0017,"Anderson, Smith and Hale Manufacturing",Poland,Switchgear Parts,2023-08,23,65872,2637,4.003,C,3.4566,Low
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2023-08,24,117240,3010,2.568,B,2.7447999999999997,Low
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2024-11,4,10604,288,2.721,B,1.7478,Low
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-06,6,9870,258,2.62,B,1.6752,Low
SUP-0107,Jones PLC Pvt Ltd,India,Circuit Breakers,2024-09,7,9247,101,1.094,A,0.6968,Low
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2024-05,17,72420,2874,3.97,C,3.5316,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-12,6,25632,1004,3.92,C,2.7536,Low
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2024-02,5,4325,174,4.025,C,2.4846,Low
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2025-04,19,28709,587,2.048,B,1.4636,Low
SUP-0095,Mitchell-Boyd Components,India,Metal Components,2025-12,10,9640,771,8.0,D,5.1084,Medium
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-12,25,113525,3637,3.204,C,3.3772,Low
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2023-10,6,2172,119,5.489,D,3.3409999999999997,Low
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-07,16,46448,532,1.148,A,0.9016,Low
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2024-10,24,95904,1126,1.174,A,1.1547999999999998,Low
SUP-0114,Davis and Sons Manufacturing,India,Transformers,2025-04,11,40040,388,0.97,A,0.7372,Low
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2025-07,12,56784,1222,2.153,B,1.7806000000000002,Low
SUP-0147,Murray Inc Manufacturing,Poland,Plastic Components,2023-03,14,4480,22,0.5,A,0.30879999999999996,Low
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-09,15,69135,2317,3.351,C,2.9374,Low
SUP-0007,Mitchell Ltd Manufacturing,Germany,Metal Components,2023-04,18,42084,1158,2.753,B,2.1149999999999998,Low
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2023-06,11,31911,1108,3.472,C,2.5263999999999998,Low
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2024-01,7,22022,1294,5.88,D,4.0456,Low
SUP-0139,"Cooper, Schwartz and Edwards GmbH",Mexico,Switchgear Parts,2023-07,23,65941,4366,6.622,D,5.7196,Medium
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2023-07,14,10360,139,1.346,A,0.8632,Low
SUP-0007,Mitchell Ltd Manufacturing,Germany,Metal Components,2024-01,8,7344,272,3.709,C,2.3342,Low
SUP-0069,Soto-Powell GmbH,Poland,Switchgear Parts,2025-07,15,57915,1144,1.976,B,1.6432,Low
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2025-08,9,10656,746,7.006,D,4.502,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2023-08,19,62871,1947,3.098,C,2.6376,Low
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-02,10,47180,2077,4.404,C,3.4732,Low
SUP-0094,"Berry, Barr and Alexander Pvt Ltd",Poland,Transformers,2025-11,4,15576,655,4.21,C,2.788,Low
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2024-02,2,9998,247,2.471,B,1.5814,Low
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2024-04,24,39936,2567,6.43,D,4.8848,Low
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2024-09,21,63672,1438,2.26,B,1.9312,Low
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-04,22,50820,1506,2.964,B,2.3808,Low
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2025-11,14,8568,208,2.431,B,1.5417999999999998,Low
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2023-06,22,58806,1279,2.177,B,1.8178,Low
SUP-0088,Sanchez and Sons GmbH,Germany,Metal Components,2023-02,6,7596,181,2.385,B,1.5033999999999998,Low
SUP-0067,Woods-Liu Group,China,Transformers,2024-02,13,11518,518,4.498,C,2.9059999999999997,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2024-02,4,13128,722,5.506,D,3.5924,Low
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2024-07,15,60120,3537,5.884,D,4.9452,Low
SUP-0077,Vasquez-Rodriguez Pvt Ltd,India,Transformers,2023-07,10,2550,61,2.414,B,1.4728,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-02,5,16755,523,3.125,C,2.0842,Low
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2023-12,3,12513,472,3.772,C,2.452,Low
SUP-0034,Owen-Middleton Group,China,Plastic Components,2023-03,5,24655,198,0.805,A,0.5622,Low
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2025-08,20,6960,456,6.557,D,4.1166,Low
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2025-07,5,7685,45,0.597,A,0.3762,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2024-09,9,7668,447,5.838,D,3.6816,Low
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2024-08,24,55872,4395,7.867,D,6.4782,Medium
SUP-0087,Taylor Ltd Corp,Germany,Connectors,2024-03,18,27162,1273,4.689,C,3.3226,Low
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2023-09,16,13824,443,3.207,C,2.1014,Low
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2024-04,11,31504,1168,3.709,C,2.6926,Low
SUP-0061,Cox Ltd Corp,USA,Metal Components,2024-01,20,47600,2781,5.843,D,4.6182,Low
SUP-0047,Ramirez-Castro Pvt Ltd,China,Metal Components,2025-05,4,3912,312,8.0,D,4.924799999999999,Low
SUP-0083,Burch-Harris Components,USA,Transformers,2023-05,10,8800,263,2.995,B,1.9022,Low
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2023-03,9,27981,343,1.229,A,0.8746,Low
SUP-0100,"Leon, Warren and Juarez Group",Poland,Plastic Components,2025-07,18,48150,2329,4.839,C,3.835,Low
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2024-07,19,44821,336,0.75,A,0.5844,Low
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2023-06,17,31059,476,1.534,B,1.1108,Low
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2024-02,4,14396,1008,7.004,D,4.6056,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-06,3,3498,224,6.404,D,3.9319999999999995,Low
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2025-01,15,26985,257,0.955,A,0.6758,Low
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2023-06,2,8334,322,3.865,C,2.4478,Low
SUP-0115,Dixon-Collins Corp,USA,Connectors,2024-11,6,3990,248,6.226,D,3.8348,Low
